"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4588","tc05_verifySearchBarValid","Flipkart Regression Suite","Thu Jul 16 04:11:53 GMT 2026","passed","Thu Jul 16 04:11:57 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc05_verifySearchBarValid"
"","4546","tc02_inValidLogin","Flipkart Regression Suite","Thu Jul 16 04:10:42 GMT 2026","passed","Thu Jul 16 04:10:47 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc02_inValidLogin"
"","18674","tc15_buyNowTest","Flipkart Regression Suite","Thu Jul 16 04:13:47 GMT 2026","failed","Thu Jul 16 04:14:06 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc15_buyNowTest"
"","12163","tc07_verifySearchFilters","Flipkart Regression Suite","Thu Jul 16 04:12:02 GMT 2026","passed","Thu Jul 16 04:12:14 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc07_verifySearchFilters"
"","32754","tc03_verifyTopNavigationMenus","Flipkart Regression Suite","Thu Jul 16 04:10:47 GMT 2026","failed","Thu Jul 16 04:11:20 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc03_verifyTopNavigationMenus"
"","22560","tc13_verifyProductSpecs","Flipkart Regression Suite","Thu Jul 16 04:13:02 GMT 2026","failed","Thu Jul 16 04:13:25 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc13_verifyProductSpecs"
"","6324","tc11_verifyOutOfStockItemsOnPLP","Flipkart Regression Suite","Thu Jul 16 04:12:33 GMT 2026","passed","Thu Jul 16 04:12:39 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc11_verifyOutOfStockItemsOnPLP"
"","23271","tc12_verifyProductImagesCarousel","Flipkart Regression Suite","Thu Jul 16 04:12:39 GMT 2026","failed","Thu Jul 16 04:13:02 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc12_verifyProductImagesCarousel"
"","7484","tc08_verifyProductCardsOnPLP","Flipkart Regression Suite","Thu Jul 16 04:12:14 GMT 2026","passed","Thu Jul 16 04:12:22 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc08_verifyProductCardsOnPLP"
"","19350","tc01_validLogin","Flipkart Regression Suite","Thu Jul 16 04:10:23 GMT 2026","failed","Thu Jul 16 04:10:42 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc01_validLogin"
"","4807","tc06_verifySearchBarSmartSuggestions","Flipkart Regression Suite","Thu Jul 16 04:11:57 GMT 2026","passed","Thu Jul 16 04:12:02 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc06_verifySearchBarSmartSuggestions"
"","21837","tc14_addToCartFromPDPTest","Flipkart Regression Suite","Thu Jul 16 04:13:25 GMT 2026","failed","Thu Jul 16 04:13:47 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc14_addToCartFromPDPTest"
"","5231","tc09_verifySortByPriceLowToHigh","Flipkart Regression Suite","Thu Jul 16 04:12:22 GMT 2026","failed","Thu Jul 16 04:12:27 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc09_verifySortByPriceLowToHigh"
"","32879","tc04_verifyProductCategoryNavigation","Flipkart Regression Suite","Thu Jul 16 04:11:20 GMT 2026","failed","Thu Jul 16 04:11:53 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc04_verifyProductCategoryNavigation"
"","5334","tc10_verifyPaginationNextPageLoadsCorrectly","Flipkart Regression Suite","Thu Jul 16 04:12:27 GMT 2026","passed","Thu Jul 16 04:12:33 GMT 2026","tests.RegressionTest","Regression Tests","tests.RegressionTest","tc10_verifyPaginationNextPageLoadsCorrectly"
